 format: day,hour,forecast,value location:57_123 Start : 20150101 
 1,1130,+1,1.000000 
 1,1130,+2,1.000000 
 1,1130,+3,1.000000 
 1,1130,+4,2.000000 
 1,1230,+1,2.000000 
 1,1230,+2,2.000000 
 1,1230,+3,2.000000 
 1,1330,+1,4.000000 
 1,1330,+2,4.000000 
 1,1430,+1,4.000000 
 1,1430,+2,4.000000 
 1,1430,+3,4.000000 
 1,1430,+4,4.000000 
 1,1530,+1,4.000000 
 1,1530,+2,4.000000 
 1,1530,+3,4.000000 
 1,1630,+1,4.000000 
 1,1630,+2,4.000000 
 1,1730,+1,1.000000 
 1,1730,+2,1.000000 
 1,1730,+3,1.000000 
 1,1730,+4,1.000000 
 1,1830,+1,4.000000 
 1,1830,+2,4.000000 
 1,1830,+3,4.000000 
 1,1930,+1,4.000000 
 1,1930,+2,4.000000 
 1,2030,+1,4.000000 
 1,2030,+2,4.000000 
 1,2030,+3,4.000000 
 1,2030,+4,4.000000 
 1,2130,+1,4.000000 
 1,2130,+2,4.000000 
 1,2130,+3,4.000000 
 1,2230,+1,4.000000 
 1,2230,+2,4.000000 
 1,2330,+1,4.000000 
 1,2330,+2,4.000000 
 1,2330,+3,4.000000 
 1,2330,+4,4.000000 
 2,0030,+1,4.000000 
 2,0030,+2,4.000000 
 2,0030,+3,4.000000 
 2,0130,+1,4.000000 
 2,0130,+2,4.000000 
 2,0230,+1,4.000000 
 2,0230,+2,4.000000 
 2,0230,+3,4.000000 
 2,0230,+4,4.000000 
 2,0330,+1,4.000000 
 2,0330,+2,4.000000 
 2,0330,+3,4.000000 
 2,0430,+1,4.000000 
 2,0430,+2,4.000000 
 2,0530,+1,4.000000 
 2,0530,+2,3.000000 
 2,0530,+3,3.000000 
 2,0530,+4,2.000000 
 2,0630,+1,3.000000 
 2,0630,+2,1.000000 
 2,0630,+3,2.000000 
 2,0730,+1,3.000000 
 2,0730,+2,3.000000 
 2,0830,+1,1.000000 
 2,0830,+2,1.000000 
 2,0830,+3,1.000000 
 2,0830,+4,1.000000 
 2,0930,+1,2.000000 
 2,0930,+2,2.000000 
 2,0930,+3,3.000000 
 2,1030,+1,2.000000 
 2,1030,+2,3.000000 
 2,1130,+1,3.000000 
 2,1130,+2,4.000000 
 2,1130,+3,4.000000 
 2,1130,+4,4.000000 
 2,1230,+1,4.000000 
 2,1230,+2,4.000000 
 2,1230,+3,4.000000 
 2,1330,+1,4.000000 
 2,1330,+2,4.000000 
 2,1430,+1,4.000000 
 2,1430,+2,4.000000 
 2,1430,+3,4.000000 
 2,1430,+4,4.000000 
 2,1530,+1,4.000000 
 2,1530,+2,4.000000 
 2,1530,+3,3.000000 
 2,1630,+1,4.000000 
 2,1630,+2,4.000000 
 2,1730,+1,3.000000 
 2,1730,+2,4.000000 
 2,1730,+3,4.000000 
 2,1730,+4,4.000000 
 2,1830,+1,3.000000 
 2,1830,+2,3.000000 
 2,1830,+3,4.000000 
 2,1930,+1,4.000000 
 2,1930,+2,4.000000 
 2,2030,+1,4.000000 
 2,2030,+2,4.000000 
 2,2030,+3,4.000000 
 2,2030,+4,4.000000 
 2,2130,+1,4.000000 
 2,2130,+2,4.000000 
 2,2130,+3,4.000000 
 2,2230,+1,4.000000 
 2,2230,+2,4.000000 
 2,2330,+1,4.000000 
 2,2330,+2,4.000000 
 2,2330,+3,4.000000 
 2,2330,+4,4.000000 
 3,0030,+1,4.000000 
 3,0030,+2,4.000000 
 3,0030,+3,4.000000 
 3,0130,+1,4.000000 
 3,0130,+2,4.000000 
 3,0230,+1,4.000000 
 3,0230,+2,4.000000 
 3,0230,+3,4.000000 
 3,0230,+4,4.000000 
 3,0330,+1,4.000000 
 3,0330,+2,4.000000 
 3,0330,+3,4.000000 
 3,0430,+1,4.000000 
 3,0430,+2,4.000000 
 3,0530,+1,4.000000 
 3,0530,+2,4.000000 
 3,0530,+3,4.000000 
 3,0530,+4,4.000000 
 3,0630,+1,4.000000 
 3,0630,+2,4.000000 
 3,0630,+3,4.000000 
 3,0730,+1,4.000000 
 3,0730,+2,4.000000 
 3,0830,+1,4.000000 
 3,0830,+2,4.000000 
 3,0830,+3,4.000000 
 3,0830,+4,4.000000 
 3,0930,+1,3.000000 
 3,0930,+2,3.000000 
 3,0930,+3,4.000000 
 3,1030,+1,4.000000 
 3,1030,+2,4.000000 
 3,1130,+1,4.000000 
 3,1130,+2,4.000000 
 3,1130,+3,4.000000 
 3,1130,+4,4.000000 
 3,1230,+1,4.000000 
 3,1230,+2,4.000000 
 3,1230,+3,4.000000 
 3,1330,+1,4.000000 
 3,1330,+2,4.000000 
 3,1430,+1,4.000000 
 3,1430,+2,4.000000 
 3,1430,+3,4.000000 
 3,1430,+4,4.000000 
 3,1530,+1,4.000000 
 3,1530,+2,4.000000 
 3,1530,+3,4.000000 
 3,1630,+1,4.000000 
 3,1630,+2,4.000000 
 3,1730,+1,4.000000 
 3,1730,+2,4.000000 
 3,1730,+3,4.000000 
 3,1730,+4,4.000000 
 3,1830,+1,2.000000 
 3,1830,+2,2.000000 
 3,1830,+3,3.000000 
 3,1930,+1,1.000000 
 3,1930,+2,1.000000 
 3,2030,+1,1.000000 
 3,2030,+2,2.000000 
 3,2030,+3,2.000000 
 3,2030,+4,3.000000 
 3,2130,+1,1.000000 
 3,2130,+2,2.000000 
 3,2130,+3,2.000000 
 3,2230,+1,1.000000 
 3,2230,+2,1.000000 
 3,2330,+1,1.000000 
 3,2330,+2,1.000000 
 3,2330,+3,1.000000 
 3,2330,+4,1.000000 
 4,0030,+1,1.000000 
 4,0030,+2,1.000000 
 4,0030,+3,1.000000 
 4,0130,+1,2.000000 
 4,0130,+2,2.000000 
 4,0230,+1,1.000000 
 4,0230,+2,2.000000 
 4,0230,+3,2.000000 
 4,0230,+4,3.000000 
 4,0330,+1,1.000000 
 4,0330,+2,1.000000 
 4,0330,+3,2.000000 
 4,0430,+1,3.000000 
 4,0430,+2,4.000000 
 4,0530,+1,4.000000 
 4,0530,+2,4.000000 
 4,0530,+3,4.000000 
 4,0530,+4,4.000000 
 4,0630,+1,3.000000 
 4,0630,+2,3.000000 
 4,0630,+3,3.000000 
 4,0730,+1,2.000000 
 4,0730,+2,2.000000 
 4,0830,+1,1.000000 
 4,0830,+2,1.000000 
 4,0830,+3,2.000000 
 4,0830,+4,2.000000 
 4,0930,+1,1.000000 
 4,0930,+2,1.000000 
 4,0930,+3,1.000000 
 4,1030,+1,1.000000 
 4,1030,+2,1.000000 
 4,1130,+1,2.000000 
 4,1130,+2,2.000000 
 4,1130,+3,3.000000 
 4,1130,+4,4.000000 
 4,1230,+1,2.000000 
 4,1230,+2,4.000000 
 4,1230,+3,4.000000 
 4,1330,+1,4.000000 
 4,1330,+2,4.000000 
 4,1430,+1,4.000000 
 4,1430,+2,4.000000 
 4,1430,+3,4.000000 
 4,1430,+4,4.000000 
 4,1530,+1,4.000000 
 4,1530,+2,4.000000 
 4,1530,+3,4.000000 
 4,1630,+1,4.000000 
 4,1630,+2,4.000000 
 4,1730,+1,4.000000 
 4,1730,+2,4.000000 
 4,1730,+3,4.000000 
 4,1730,+4,4.000000 
 4,1830,+1,4.000000 
 4,1830,+2,4.000000 
 4,1830,+3,4.000000 
 4,1930,+1,4.000000 
 4,1930,+2,4.000000 
 4,2030,+1,4.000000 
 4,2030,+2,4.000000 
 4,2030,+3,4.000000 
 4,2030,+4,4.000000 
 4,2130,+1,4.000000 
 4,2130,+2,4.000000 
 4,2130,+3,3.000000 
 4,2230,+1,1.000000 
 4,2230,+2,1.000000 
 4,2330,+1,1.000000 
 4,2330,+2,1.000000 
 4,2330,+3,1.000000 
 4,2330,+4,1.000000 
 5,0030,+1,1.000000 
 5,0030,+2,1.000000 
 5,0030,+3,1.000000 
 5,0130,+1,1.000000 
 5,0130,+2,1.000000 
 5,0230,+1,1.000000 
 5,0230,+2,1.000000 
 5,0230,+3,1.000000 
 5,0230,+4,1.000000 
 5,0330,+1,1.000000 
 5,0330,+2,1.000000 
 5,0330,+3,2.000000 
 5,0430,+1,1.000000 
 5,0430,+2,2.000000 
 5,0530,+1,4.000000 
 5,0530,+2,4.000000 
 5,0530,+3,4.000000 
 5,0530,+4,4.000000 
 5,0630,+1,4.000000 
 5,0630,+2,4.000000 
 5,0630,+3,4.000000 
 5,0730,+1,4.000000 
 5,0730,+2,4.000000 
 5,0830,+1,4.000000 
 5,0830,+2,4.000000 
 5,0830,+3,4.000000 
 5,0830,+4,4.000000 
 5,0930,+1,4.000000 
 5,0930,+2,4.000000 
 5,0930,+3,4.000000 
 5,1030,+1,4.000000 
 5,1030,+2,4.000000 
 5,1130,+1,4.000000 
 5,1130,+2,4.000000 
 5,1130,+3,4.000000 
 5,1130,+4,4.000000 
 5,1230,+1,4.000000 
 5,1230,+2,4.000000 
 5,1230,+3,4.000000 
 5,1330,+1,4.000000 
 5,1330,+2,4.000000 
 5,1430,+1,4.000000 
 5,1430,+2,4.000000 
 5,1430,+3,4.000000 
 5,1430,+4,4.000000 
 5,1530,+1,4.000000 
 5,1530,+2,4.000000 
 5,1530,+3,4.000000 
 5,1630,+1,4.000000 
 5,1630,+2,4.000000 
 5,1730,+1,4.000000 
 5,1730,+2,4.000000 
 5,1730,+3,4.000000 
 5,1730,+4,4.000000 
 5,1830,+1,4.000000 
 5,1830,+2,4.000000 
 5,1830,+3,4.000000 
 5,1930,+1,4.000000 
 5,1930,+2,4.000000 
 5,2030,+1,4.000000 
 5,2030,+2,4.000000 
 5,2030,+3,4.000000 
 5,2030,+4,4.000000 
 5,2130,+1,4.000000 
 5,2130,+2,4.000000 
 5,2130,+3,4.000000 
 5,2230,+1,4.000000 
 5,2230,+2,4.000000 
 5,2330,+1,3.000000 
 5,2330,+2,4.000000 
 5,2330,+3,4.000000 
 5,2330,+4,4.000000 
 6,0030,+1,3.000000 
 6,0030,+2,3.000000 
 6,0030,+3,3.000000 
 6,0130,+1,4.000000 
 6,0130,+2,4.000000 
 6,0230,+1,3.000000 
 6,0230,+2,4.000000 
 6,0230,+3,4.000000 
 6,0230,+4,4.000000 
 6,0330,+1,4.000000 
 6,0330,+2,4.000000 
 6,0330,+3,4.000000 
 6,0430,+1,4.000000 
 6,0430,+2,4.000000 
 6,0530,+1,3.000000 
 6,0530,+2,4.000000 
 6,0530,+3,4.000000 
 6,0530,+4,4.000000 
 6,0630,+1,2.000000 
 6,0630,+2,2.000000 
 6,0630,+3,3.000000 
 6,0730,+1,2.000000 
 6,0730,+2,4.000000 
 6,0830,+1,4.000000 
 6,0830,+2,4.000000 
 6,0830,+3,4.000000 
 6,0830,+4,3.000000 
 6,0930,+1,2.000000 
 6,0930,+2,3.000000 
 6,0930,+3,3.000000 
 6,1030,+1,1.000000 
 6,1030,+2,1.000000 
 6,1130,+1,1.000000 
 6,1130,+2,2.000000 
 6,1130,+3,2.000000 
 6,1130,+4,2.000000 
 6,1230,+1,1.000000 
 6,1230,+2,1.000000 
 6,1230,+3,2.000000 
 6,1330,+1,1.000000 
 6,1330,+2,1.000000 
 6,1430,+1,1.000000 
 6,1430,+2,1.000000 
 6,1430,+3,1.000000 
 6,1430,+4,1.000000 
 6,1530,+1,1.000000 
 6,1530,+2,1.000000 
 6,1530,+3,1.000000 
 6,1630,+1,1.000000 
 6,1630,+2,1.000000 
 6,1730,+1,1.000000 
 6,1730,+2,1.000000 
 6,1730,+3,1.000000 
 6,1730,+4,1.000000 
 6,1830,+1,1.000000 
 6,1830,+2,1.000000 
 6,1830,+3,1.000000 
 6,1930,+1,1.000000 
 6,1930,+2,1.000000 
 6,2030,+1,1.000000 
 6,2030,+2,1.000000 
 6,2030,+3,1.000000 
 6,2030,+4,1.000000 
 6,2130,+1,1.000000 
 6,2130,+2,1.000000 
 6,2130,+3,1.000000 
 6,2230,+1,1.000000 
 6,2230,+2,1.000000 
 6,2330,+1,1.000000 
 6,2330,+2,1.000000 
 6,2330,+3,1.000000 
 6,2330,+4,1.000000 
 7,0030,+1,1.000000 
 7,0030,+2,1.000000 
 7,0030,+3,1.000000 
 7,0130,+1,1.000000 
 7,0130,+2,1.000000 
 7,0230,+1,1.000000 
 7,0230,+2,1.000000 
 7,0230,+3,1.000000 
 7,0230,+4,1.000000 
 7,0330,+1,1.000000 
 7,0330,+2,1.000000 
 7,0330,+3,1.000000 
 7,0430,+1,1.000000 
 7,0430,+2,1.000000 
 7,0530,+1,1.000000 
 7,0530,+2,1.000000 
 7,0530,+3,1.000000 
 7,0530,+4,1.000000 
 7,0630,+1,1.000000 
 7,0630,+2,1.000000 
 7,0630,+3,1.000000 
 7,0730,+1,1.000000 
 7,0730,+2,1.000000 
 7,0830,+1,4.000000 
 7,0830,+2,4.000000 
 7,0830,+3,4.000000 
 7,0830,+4,4.000000 
 7,0930,+1,4.000000 
 7,0930,+2,4.000000 
 7,0930,+3,4.000000 
 7,1030,+1,4.000000 
 7,1030,+2,4.000000 
 7,1130,+1,4.000000 
 7,1130,+2,4.000000 
 7,1130,+3,4.000000 
 7,1130,+4,4.000000 
 7,1230,+1,4.000000 
 7,1230,+2,4.000000 
 7,1230,+3,4.000000 
 7,1330,+1,4.000000 
 7,1330,+2,4.000000 
 7,1430,+1,3.000000 
 7,1430,+2,2.000000 
 7,1430,+3,1.000000 
 7,1430,+4,1.000000 
 7,1530,+1,1.000000 
 7,1530,+2,1.000000 
 7,1530,+3,1.000000 
 7,1630,+1,1.000000 
 7,1630,+2,1.000000 
 7,1730,+1,1.000000 
 7,1730,+2,1.000000 
 7,1730,+3,1.000000 
 7,1730,+4,1.000000 
 7,1830,+1,1.000000 
 7,1830,+2,1.000000 
 7,1830,+3,1.000000 
 7,1930,+1,1.000000 
 7,1930,+2,1.000000 
 7,2030,+1,1.000000 
 7,2030,+2,1.000000 
 7,2030,+3,1.000000 
 7,2030,+4,1.000000 
 7,2130,+1,1.000000 
 7,2130,+2,1.000000 
 7,2130,+3,1.000000 
 7,2230,+1,1.000000 
 7,2230,+2,1.000000 
 7,2330,+1,1.000000 
 7,2330,+2,1.000000 
 7,2330,+3,1.000000 
 7,2330,+4,1.000000 
 8,0030,+1,1.000000 
 8,0030,+2,1.000000 
 8,0030,+3,1.000000 
 8,0130,+1,1.000000 
 8,0130,+2,1.000000 
 8,0230,+1,1.000000 
 8,0230,+2,1.000000 
 8,0230,+3,1.000000 
 8,0230,+4,1.000000 
 8,0330,+1,1.000000 
 8,0330,+2,1.000000 
 8,0330,+3,1.000000 
 8,0430,+1,1.000000 
 8,0430,+2,1.000000 
 8,0530,+1,1.000000 
 8,0530,+2,1.000000 
 8,0530,+3,1.000000 
 8,0530,+4,1.000000 
 8,0630,+1,1.000000 
 8,0630,+2,1.000000 
 8,0630,+3,1.000000 
 8,0730,+1,1.000000 
 8,0730,+2,1.000000 
 8,0830,+1,1.000000 
 8,0830,+2,1.000000 
 8,0830,+3,1.000000 
 8,0830,+4,1.000000 
 8,0930,+1,1.000000 
 8,0930,+2,1.000000 
 8,0930,+3,1.000000 
 8,1030,+1,1.000000 
 8,1030,+2,1.000000 
 8,1130,+1,1.000000 
 8,1130,+2,1.000000 
 8,1130,+3,1.000000 
 8,1130,+4,1.000000 
 8,1230,+1,1.000000 
 8,1230,+2,1.000000 
 8,1230,+3,1.000000 
 8,1330,+1,1.000000 
 8,1330,+2,1.000000 
 8,1430,+1,1.000000 
 8,1430,+2,1.000000 
 8,1430,+3,1.000000 
 8,1430,+4,1.000000 
 8,1530,+1,1.000000 
 8,1530,+2,1.000000 
 8,1530,+3,1.000000 
 8,1630,+1,1.000000 
 8,1630,+2,1.000000 
 8,1730,+1,1.000000 
 8,1730,+2,1.000000 
 8,1730,+3,1.000000 
 8,1730,+4,1.000000 
 8,1830,+1,1.000000 
 8,1830,+2,1.000000 
 8,1830,+3,2.000000 
 8,1930,+1,3.000000 
 8,1930,+2,4.000000 
 8,2030,+1,4.000000 
 8,2030,+2,4.000000 
 8,2030,+3,4.000000 
 8,2030,+4,4.000000 
 8,2130,+1,4.000000 
 8,2130,+2,4.000000 
 8,2130,+3,4.000000 
 8,2230,+1,4.000000 
 8,2230,+2,4.000000 
 8,2330,+1,4.000000 
 8,2330,+2,4.000000 
 8,2330,+3,4.000000 
 8,2330,+4,4.000000 
 9,0030,+1,4.000000 
 9,0030,+2,4.000000 
 9,0030,+3,4.000000 
 9,0130,+1,4.000000 
 9,0130,+2,3.000000 
 9,0230,+1,3.000000 
 9,0230,+2,4.000000 
 9,0230,+3,3.000000 
 9,0230,+4,2.000000 
 9,0330,+1,4.000000 
 9,0330,+2,3.000000 
 9,0330,+3,3.000000 
 9,0430,+1,3.000000 
 9,0430,+2,3.000000 
 9,0530,+1,2.000000 
 9,0530,+2,3.000000 
 9,0530,+3,4.000000 
 9,0530,+4,4.000000 
 9,0630,+1,3.000000 
 9,0630,+2,3.000000 
 9,0630,+3,3.000000 
 9,0730,+1,3.000000 
 9,0730,+2,4.000000 
 9,0830,+1,2.000000 
 9,0830,+2,3.000000 
 9,0830,+3,4.000000 
 9,0830,+4,4.000000 
 9,0930,+1,4.000000 
 9,0930,+2,4.000000 
 9,0930,+3,4.000000 
 9,1030,+1,3.000000 
 9,1030,+2,4.000000 
 9,1130,+1,4.000000 
 9,1130,+2,4.000000 
 9,1130,+3,4.000000 
 9,1130,+4,4.000000 
 9,1230,+1,4.000000 
 9,1230,+2,4.000000 
 9,1230,+3,4.000000 
 9,1330,+1,4.000000 
 9,1330,+2,4.000000 
 9,1430,+1,4.000000 
 9,1430,+2,4.000000 
 9,1430,+3,4.000000 
 9,1430,+4,4.000000 
 9,1530,+1,4.000000 
 9,1530,+2,4.000000 
 9,1530,+3,4.000000 
 9,1630,+1,4.000000 
 9,1630,+2,4.000000 
 9,1730,+1,4.000000 
 9,1730,+2,4.000000 
 9,1730,+3,4.000000 
 9,1730,+4,4.000000 
 9,1830,+1,4.000000 
 9,1830,+2,4.000000 
 9,1830,+3,4.000000 
 9,1930,+1,4.000000 
 9,1930,+2,4.000000 
 9,2030,+1,4.000000 
 9,2030,+2,4.000000 
 9,2030,+3,4.000000 
 9,2030,+4,4.000000 
 9,2130,+1,4.000000 
 9,2130,+2,4.000000 
 9,2130,+3,4.000000 
 9,2230,+1,4.000000 
 9,2230,+2,4.000000 
 9,2330,+1,4.000000 
 9,2330,+2,4.000000 
 9,2330,+3,4.000000 
 9,2330,+4,4.000000 
 10,0030,+1,4.000000 
 10,0030,+2,4.000000 
 10,0030,+3,4.000000 
 10,0130,+1,4.000000 
 10,0130,+2,4.000000 
 10,0230,+1,4.000000 
 10,0230,+2,4.000000 
 10,0230,+3,4.000000 
 10,0230,+4,4.000000 
 10,0330,+1,4.000000 
 10,0330,+2,4.000000 
 10,0330,+3,4.000000 
 10,0430,+1,4.000000 
 10,0430,+2,4.000000 
 10,0530,+1,4.000000 
 10,0530,+2,4.000000 
 10,0530,+3,4.000000 
 10,0530,+4,4.000000 
 10,0630,+1,4.000000 
 10,0630,+2,4.000000 
 10,0630,+3,4.000000 
 10,0730,+1,4.000000 
 10,0730,+2,4.000000 
 10,0830,+1,4.000000 
 10,0830,+2,4.000000 
 10,0830,+3,4.000000 
 10,0830,+4,4.000000 
 10,0930,+1,4.000000 
 10,0930,+2,4.000000 
 10,0930,+3,4.000000 
 10,1030,+1,4.000000 
 10,1030,+2,4.000000 
 10,1130,+1,4.000000 
 10,1130,+2,4.000000 
 10,1130,+3,4.000000 
 10,1130,+4,3.000000 
 10,1230,+1,4.000000 
 10,1230,+2,4.000000 
 10,1230,+3,4.000000 
 10,1330,+1,4.000000 
 10,1330,+2,3.000000 
 10,1430,+1,3.000000 
 10,1430,+2,3.000000 
 10,1430,+3,4.000000 
 10,1430,+4,4.000000 
 10,1530,+1,3.000000 
 10,1530,+2,4.000000 
 10,1530,+3,4.000000 
 10,1630,+1,3.000000 
 10,1630,+2,4.000000 
 10,1730,+1,4.000000 
 10,1730,+2,2.000000 
 10,1730,+3,3.000000 
 10,1730,+4,4.000000 
 10,1830,+1,3.000000 
 10,1830,+2,4.000000 
 10,1830,+3,4.000000 
 10,1930,+1,4.000000 
 10,1930,+2,4.000000 
 10,2030,+1,4.000000 
 10,2030,+2,4.000000 
 10,2030,+3,4.000000 
 10,2030,+4,3.000000 
 10,2130,+1,4.000000 
 10,2130,+2,4.000000 
 10,2130,+3,3.000000 
 10,2230,+1,3.000000 
 10,2230,+2,4.000000 
 10,2330,+1,3.000000 
 10,2330,+2,4.000000 
 10,2330,+3,4.000000 
 10,2330,+4,4.000000 
 11,0030,+1,3.000000 
 11,0030,+2,4.000000 
 11,0030,+3,4.000000 
 11,0130,+1,1.000000 
 11,0130,+2,2.000000 
 11,0230,+1,1.000000 
 11,0230,+2,2.000000 
 11,0230,+3,3.000000 
 11,0230,+4,3.000000 
 11,0330,+1,1.000000 
 11,0330,+2,1.000000 
 11,0330,+3,1.000000 
 11,0430,+1,2.000000 
 11,0430,+2,2.000000 
 11,0530,+1,3.000000 
 11,0530,+2,2.000000 
 11,0530,+3,2.000000 
 11,0530,+4,2.000000 
 11,0630,+1,1.000000 
 11,0630,+2,1.000000 
 11,0630,+3,1.000000 
 11,0730,+1,1.000000 
 11,0730,+2,1.000000 
 11,0830,+1,1.000000 
 11,0830,+2,1.000000 
 11,0830,+3,1.000000 
 11,0830,+4,1.000000 
 11,0930,+1,1.000000 
 11,0930,+2,1.000000 
 11,0930,+3,1.000000 
 11,1030,+1,1.000000 
 11,1030,+2,1.000000 
 11,1130,+1,1.000000 
 11,1130,+2,1.000000 
 11,1130,+3,1.000000 
 11,1130,+4,1.000000 
 11,1230,+1,1.000000 
 11,1230,+2,1.000000 
 11,1230,+3,1.000000 
 11,1330,+1,1.000000 
 11,1330,+2,1.000000 
 11,1430,+1,1.000000 
 11,1430,+2,1.000000 
 11,1430,+3,1.000000 
 11,1430,+4,1.000000 
 11,1530,+1,1.000000 
 11,1530,+2,1.000000 
 11,1530,+3,1.000000 
 11,1630,+1,1.000000 
 11,1630,+2,1.000000 
 11,1730,+1,1.000000 
 11,1730,+2,1.000000 
 11,1730,+3,1.000000 
 11,1730,+4,1.000000 
 11,1830,+1,1.000000 
 11,1830,+2,1.000000 
 11,1830,+3,1.000000 
 11,1930,+1,1.000000 
 11,1930,+2,1.000000 
 11,2030,+1,1.000000 
 11,2030,+2,1.000000 
 11,2030,+3,1.000000 
 11,2030,+4,1.000000 
 11,2130,+1,1.000000 
 11,2130,+2,1.000000 
 11,2130,+3,1.000000 
 11,2230,+1,1.000000 
 11,2230,+2,1.000000 
 11,2330,+1,1.000000 
 11,2330,+2,1.000000 
 11,2330,+3,1.000000 
 11,2330,+4,1.000000 
 12,0030,+1,1.000000 
 12,0030,+2,1.000000 
 12,0030,+3,1.000000 
 12,0130,+1,1.000000 
 12,0130,+2,1.000000 
 12,0230,+1,1.000000 
 12,0230,+2,1.000000 
 12,0230,+3,1.000000 
 12,0230,+4,1.000000 
 12,0330,+1,1.000000 
 12,0330,+2,1.000000 
 12,0330,+3,2.000000 
 12,0430,+1,1.000000 
 12,0430,+2,1.000000 
 12,0530,+1,1.000000 
 12,0530,+2,1.000000 
 12,0530,+3,2.000000 
 12,0530,+4,2.000000 
 12,0630,+1,1.000000 
 12,0630,+2,3.000000 
 12,0630,+3,4.000000 
 12,0730,+1,3.000000 
 12,0730,+2,4.000000 
 12,0830,+1,3.000000 
 12,0830,+2,4.000000 
 12,0830,+3,4.000000 
 12,0830,+4,4.000000 
 12,0930,+1,3.000000 
 12,0930,+2,4.000000 
 12,0930,+3,4.000000 
 12,1030,+1,3.000000 
 12,1030,+2,4.000000 
 12,1130,+1,3.000000 
 12,1130,+2,4.000000 
 12,1130,+3,4.000000 
 12,1130,+4,4.000000 
 12,1230,+1,4.000000 
 12,1230,+2,4.000000 
 12,1230,+3,3.000000 
 12,1330,+1,2.000000 
 12,1330,+2,1.000000 
 12,1430,+1,1.000000 
 12,1430,+2,1.000000 
 12,1430,+3,1.000000 
 12,1430,+4,1.000000 
 12,1530,+1,1.000000 
 12,1530,+2,1.000000 
 12,1530,+3,1.000000 
 12,1630,+1,1.000000 
 12,1630,+2,2.000000 
 12,1730,+1,4.000000 
 12,1730,+2,4.000000 
 12,1730,+3,4.000000 
 12,1730,+4,4.000000 
 12,1830,+1,3.000000 
 12,1830,+2,4.000000 
 12,1830,+3,4.000000 
 12,1930,+1,3.000000 
 12,1930,+2,3.000000 
 12,2030,+1,3.000000 
 12,2030,+2,2.000000 
 12,2030,+3,1.000000 
 12,2030,+4,1.000000 
 12,2130,+1,1.000000 
 12,2130,+2,1.000000 
 12,2130,+3,1.000000 
 12,2230,+1,1.000000 
 12,2230,+2,1.000000 
 12,2330,+1,1.000000 
 12,2330,+2,1.000000 
 12,2330,+3,1.000000 
 12,2330,+4,1.000000 
 13,0030,+1,1.000000 
 13,0030,+2,1.000000 
 13,0030,+3,1.000000 
 13,0130,+1,1.000000 
 13,0130,+2,1.000000 
 13,0230,+1,1.000000 
 13,0230,+2,1.000000 
 13,0230,+3,1.000000 
 13,0230,+4,1.000000 
 13,0330,+1,1.000000 
 13,0330,+2,1.000000 
 13,0330,+3,2.000000 
 13,0430,+1,1.000000 
 13,0430,+2,1.000000 
 13,0530,+1,1.000000 
 13,0530,+2,1.000000 
 13,0530,+3,2.000000 
 13,0530,+4,2.000000 
 13,0630,+1,1.000000 
 13,0630,+2,1.000000 
 13,0630,+3,2.000000 
 13,0730,+1,1.000000 
 13,0730,+2,1.000000 
 13,0830,+1,1.000000 
 13,0830,+2,1.000000 
 13,0830,+3,2.000000 
 13,0830,+4,3.000000 
 13,0930,+1,1.000000 
 13,0930,+2,1.000000 
 13,0930,+3,2.000000 
 13,1030,+1,1.000000 
 13,1030,+2,1.000000 
 13,1130,+1,1.000000 
 13,1130,+2,1.000000 
 13,1130,+3,1.000000 
 13,1130,+4,1.000000 
 13,1230,+1,1.000000 
 13,1230,+2,1.000000 
 13,1230,+3,2.000000 
 13,1330,+1,1.000000 
 13,1330,+2,1.000000 
 13,1430,+1,2.000000 
 13,1430,+2,4.000000 
 13,1430,+3,4.000000 
 13,1430,+4,4.000000 
 13,1530,+1,3.000000 
 13,1530,+2,4.000000 
 13,1530,+3,4.000000 
 13,1630,+1,3.000000 
 13,1630,+2,4.000000 
 13,1730,+1,4.000000 
 13,1730,+2,4.000000 
 13,1730,+3,4.000000 
 13,1730,+4,4.000000 
 13,1830,+1,4.000000 
 13,1830,+2,4.000000 
 13,1830,+3,4.000000 
 13,1930,+1,4.000000 
 13,1930,+2,4.000000 
 13,2030,+1,4.000000 
 13,2030,+2,4.000000 
 13,2030,+3,4.000000 
 13,2030,+4,4.000000 
 13,2130,+1,4.000000 
 13,2130,+2,4.000000 
 13,2130,+3,4.000000 
 13,2230,+1,4.000000 
 13,2230,+2,4.000000 
 13,2330,+1,4.000000 
 13,2330,+2,4.000000 
 13,2330,+3,4.000000 
 13,2330,+4,4.000000 
 14,0030,+1,4.000000 
 14,0030,+2,4.000000 
 14,0030,+3,4.000000 
 14,0130,+1,4.000000 
 14,0130,+2,4.000000 
 14,0230,+1,4.000000 
 14,0230,+2,4.000000 
 14,0230,+3,4.000000 
 14,0230,+4,4.000000 
 14,0330,+1,4.000000 
 14,0330,+2,4.000000 
 14,0330,+3,4.000000 
 14,0430,+1,4.000000 
 14,0430,+2,4.000000 
 14,0530,+1,4.000000 
 14,0530,+2,4.000000 
 14,0530,+3,4.000000 
 14,0530,+4,4.000000 
 14,0630,+1,4.000000 
 14,0630,+2,4.000000 
 14,0630,+3,4.000000 
 14,0730,+1,4.000000 
 14,0730,+2,4.000000 
 14,0830,+1,4.000000 
 14,0830,+2,4.000000 
 14,0830,+3,4.000000 
 14,0830,+4,4.000000 
